微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
5273093540415155,#日黑# *日黑仿生人if叠甲：本人科幻知识为0，是一篇非常不专业、存在逻辑问题的口嗨，一小时速产，请不要太较真，大家就图一乐看看ww，没问题就⬇️大概是未来架空科幻背景，人工智能仿生人已经被广泛投入生产生活各领域，包括军事方面。“继国一号”（也就是岩胜）是作为某家军事企业的首款全能 ...全文,,无,,,Thu Mar 05 13:02:12 +0800 2026,动漫博主,218,2,21
5273182560586569,#奥数会被取代吗#【丁洪：高规格AI奥林匹克竞赛将很快出现并推广】#AI奥林匹克或很快出现#全国政协委员、中国科学院院士丁洪在接受@看看新闻Knews 记者采访时表示，随着人工智能的广泛应用，各类AI选拔赛、竞赛将很快涌现。他预计，高规格的国际性或区域性人工智能奥林匹克竞赛有望在未来两年出现，并 ...全文,,无,"https://f.video.weibocdn.com/o0/muukwqf5lx08vPy57rF6010412008ZJT0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728279&ssig=3wNA6J1l4C&KID=unistore,video",,Thu Mar 05 18:55:56 +0800 2026,上海广播电视台看看新闻KNEWS官方微博,2,0,0
5273182103142880,#网络名人赞两会# 新提法是因为新热点、新现象、新技术。工作报告中在新技术方面所概括的人工智能、未来新式能源和卫星互联网，代表了未来的发展方向和总体目标。重点推动重点行业领域人工智能商业化规模化应用，其背后包含了大家生活、工作的方方面面，注定了我国对人工智能技术更明确的重视程度、 ...全文,,"https://wx1.sinaimg.cn/orj360/a0a25ca3ly1iaw9ejlg8aj20xc1bgk8n.jpg,https://wx1.sinaimg.cn/orj360/a0a25ca3ly1iaw9ek0ojdj20u01hcgsn.jpg",,,Thu Mar 05 18:54:07 +0800 2026,微博2019十大影响力军事大V 微博军事博主 科技博主,1,0,0
5273181678212010,A股收盘后，人工智能概念和工业制造迎来利好消息工信部表示：2026年将会大力推动人工智能+制造。村里的这次表态用了“大力推动”这个词，就说明2026年将会有很多关于人工智能和制造业的利好消息，也会推动人工智能和制造业的发展。人工智能本来就是未来的一种最重要的产业，目前现在只是研发和试验 ...全文,,https://wx3.sinaimg.cn/orj360/008x99Vvgy1iaw9nvf2efj30u01tfgzw.jpg,,,Thu Mar 05 18:52:26 +0800 2026,投资内容创作者,26,0,31
5273110317368291,Anthropic CEO恢复与五角大楼就人工智能协议展开谈判——据《金融时报》报道。。。感觉有钱不挣王八蛋？//@青松古藤:Anthropic 刚刚拒绝了五角大楼的最终报价，因为他们拒绝为“致命任务”提供算力。,,无,,,Thu Mar 05 14:08:51 +0800 2026,湖南农业大学 教师  财经观察官,18,1,1
5273121104070498,全球第一家创造出意识的公司会是什么样子的，1、首先确认比特形式是否能够描述人类所能感知到的几乎全部信息，如果不成立那么意识就不可能在计算机领域被创造；2，意识项目是否达到了需要依赖国家级的投入及统筹方可完成，类似过去的登月工程、人类基因组计划和现在的核聚变发电，如果是那么意识就不太 ...全文,,无,,,Thu Mar 05 14:51:44 +0800 2026,iPhone 13 Pro Max,45,4,12
5273151181160534,2026年十大主线重点关注（很重要），建议收藏研究！ ,,"https://wx3.sinaimg.cn/orj360/f1e1ecf7ly1iaw65kzwe0j20mj0z4whe.jpg,https://wx4.sinaimg.cn/orj360/f1e1ecf7ly1iaw65lo1tpj20mj0z8tbr.jpg,https://wx1.sinaimg.cn/orj360/f1e1ecf7ly1iaw65md0zjj20mj0zjtbq.jpg,https://wx3.sinaimg.cn/orj360/f1e1ecf7ly1iaw65n3azpj20mj0zjad4.jpg,https://wx3.sinaimg.cn/orj360/f1e1ecf7ly1iaw65nsq1uj20mj0zr41q.jpg,https://wx3.sinaimg.cn/orj360/f1e1ecf7ly1iaw65osg8zj20mj100juk.jpg,https://wx1.sinaimg.cn/orj360/f1e1ecf7ly1iaw65prq6aj20mj0z2779.jpg,https://wx1.sinaimg.cn/orj360/f1e1ecf7ly1iaw65ql2crj20mj0z3whf.jpg,https://wx3.sinaimg.cn/orj360/f1e1ecf7ly1iaw65ra8msj20mj0zvq5v.jpg",,,Thu Mar 05 16:51:14 +0800 2026,投资内容创作者,86,3,98
5273179966931544,“十四五”期间，我国科技事业快速发展，科技实力跃上新台阶，创新指数排名上升至全球第10位。2025年，全社会研发投入超过3.92万亿元，强度达到2.8%。其中，基础研究投入接近2800亿元，比重达到7.08%，首次破7，创历史新高。2025年，我国批准上市的创新药达到76个，对外授权交易总额超过1300亿美元。 ...全文,,"https://wx2.sinaimg.cn/orj360/7d2acbe8gy1iaw9gpzlddj20z01s3aqo.jpg,https://wx3.sinaimg.cn/orj360/7d2acbe8gy1iaw9gqbbibj20rs1dhtmg.jpg,https://wx3.sinaimg.cn/orj360/7d2acbe8gy1iaw9grr87zj20rsardqv7.jpg",,,Thu Mar 05 18:45:38 +0800 2026,媒体人、摄影师、数码测评师、汽车测评师、互联网分析师、本地新势力博主、资讯短视频资深拍客 汽车博主,108,64,70
5273165972373767,#观网快评#：#AI关乎国运之争#，发展是硬道理 #观看两会# 观察者网的微博视频 ,,无,"https://f.video.weibocdn.com/o0/CI7cMxe9lx08vPmlw6vu01041200y3x30E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728290&ssig=5baVciHjny&KID=unistore,video",,Thu Mar 05 17:50:00 +0800 2026,观察者网(www.guancha.cn)官方微博,16,2,4
5273178439945239,#建议春节9天假代表收到很多祝贺# 随着人工智能和机器人成为优质生产力，多放假确实是不错的选择，也就是说，不仅春节假期可以延长，还应该添加更多传统节日的假，让大家重视起中华优秀传统文化，增加文化自信！以后无人工厂都是机器人不眠不休工作，网约车全都是无人驾驶，快递全都是无人机派送，高 ...全文,,无,,,Thu Mar 05 18:39:34 +0800 2026,读物博主 超话主持人（释奥超话）,0,0,0
