微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
5273213527658252,官宣！欢迎Google Gemini成为阿根廷国家队全球主要赞助商！世界冠军与全球科技创新领导者强强联手，体育与AI将迎来里程碑式融合！ 阿根廷国家足球队的微博视频 ,,无,"https://f.video.weibocdn.com/o0/GMhBmErGlx08vPGRbvAA010412005exz0E010.mp4?label=mp4_hd&template=480x848.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728268&ssig=5gCc%2Bu9vMn&KID=unistore,video",,Thu Mar 05 20:58:59 +0800 2026,阿根廷国家足球队、阿根廷足协官方微博,47,3,2
5273178721225203,它取名自北欧神话的女神，生来就是为了重新定义空战。XQ-58A“女武神” 采用罕见的V形尾翼和背部进气道，像幽灵般让雷达无处寻觅。其近4000公里的航程堪比客机，却仅需300万美元的“可消耗”成本。作为F-35的“忠诚僚机”，它能替有人战机“挡子弹”并深入敌后执行自杀式突袭。#超话创作官# ...全文,,无,"https://f.video.weibocdn.com/o0/rDswXtrWlx08vPxlXlaU01041200oFey0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728268&ssig=XtVsIQYodY&KID=unistore,video",,Thu Mar 05 18:40:41 +0800 2026,退役军人 军事博主 超话主持人（空天砺剑超话） 微博剪辑视频博主,21,1,2
5273210010734386,#管住AI变脸给技术野马系紧法治缰绳#【两会热评丨管住AI“变声易容术”，给技术野马系紧法治缰绳】#平台AI换脸功能需标注法律风险提示#据中国经济网报道，人工智能技术迅速发展，随之而来是AI换脸技术滥用问题也日益突出，此前有多位名人肖像频遭盗用，成为主要受害群体。利用AI假冒名人来带货等的现象 ...全文,,https://wx4.sinaimg.cn/orj360/001y6PXDgy1iawcbz3qdej61hc0u0wnn02.jpg,,,Thu Mar 05 20:45:01 +0800 2026,上游新闻客户端官方微博,170,19,14
5273170664754019,打造集成电路、航空航天、生物医药、低空经济等新兴支柱产业。培育发展未来能源、量子科技、具身智能、脑机接口、6G等未来产业。深化拓展“人工智能＋”。 ,,无,,,Thu Mar 05 18:08:40 +0800 2026,财经知识分享官  财经观察官 财经博主,28,0,2
5273123353789469,每年，诈骗分子从个人和企业手中窃取数十亿美元。随着这些非法利润的增长，实施诈骗的许多有组织犯罪集团的力量也在增强。#联合国毒品和犯罪问题办公室#与国际刑警组织即将于3月16号至17号在维也纳联合举办全球诈骗问题峰会，旨在推动各国的反欺诈政治意愿，深化执法领域国际合作，构建全球联合应对欺 ...全文,,"https://wx2.sinaimg.cn/orj360/001RFrR3gy1iavnsf6idpj60wi0eqdk102.jpg,https://wx1.sinaimg.cn/orj360/001RFrR3gy1iavnsf97iaj60wi0eqju902.jpg,https://wx3.sinaimg.cn/orj360/001RFrR3gy1iavnsf1i96j60wi0eqjuq02.jpg",,,Thu Mar 05 15:00:40 +0800 2026,联合国官方微博,17,3,2
5273209415140142,瑞·达利欧：人工智能正在吞噬万物——它可能最终会吞噬自身 模型预测的微博视频 ,,无,"https://f.video.weibocdn.com/u0/0B3egWdvgx08vPFKdP0I01041204IlYr0E020.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728268&ssig=4RZceAHgbb&KID=unistore,video",,Thu Mar 05 20:42:39 +0800 2026,财经知识分享官 微博原创视频博主,18,15,0
5273208817193022,2025年初，当中国初创公司DeepSeek开发出与现有聊天机器人一样优秀但成本仅为其一小部分的聊天机器人，并且由于美国实施的禁令而使用性能较低的芯片的消息震惊了各大人工智能公司和投资者时，就预示着这种可能性。这些问题涉及在利润体系框架下人工智能可能被视为的“失败”。即，任何无法产生足够收 ...全文,,无,,,Thu Mar 05 20:40:16 +0800 2026,微博网页版,1,0,2
5273208732254281,据英国《金融时报》报道，仅在本月，全球最大的两家软件公司——Salesforce和ServiceNow的市值就缩水了五分之一。由于软件市场一直是私募信贷公司的目标，因此这会产生重大的财务影响。据估计，在过去十年中，由私募股权基金资助的对软件公司的收购约占其数万亿美元交易活动的40%。全球投资银行瑞 ...全文,,无,,,Thu Mar 05 20:39:55 +0800 2026,微博网页版,0,0,0
5273208664359460,卡尔·马克思并未预见人工智能的具体发展。但他确实指出了促成其发展的客观逻辑。他在《资本论》的“草稿”《大纲》中指出，资本“把科学和自然的一切力量都动员起来”，从而为人类的发展奠定了基础。但与此同时，它也将这些发展限制在基于剥削雇佣劳动和利润的社会制度框架内。“生产力与生产关系— ...全文,,无,,,Thu Mar 05 20:39:39 +0800 2026,微博网页版,0,0,0
5273208136665129,各大公司在AI上的投资对比。大部分用于人工智能数据中心、芯片和基础设施，其中很大一部分资金直接流向了英伟达。只有Apple特立独行……感觉是把买到的芯片都拿去做mac了，再卖给大家来装小龙虾。 ,,https://wx1.sinaimg.cn/orj360/82c654dfly1iawcj27wbgj20m80ifdhz.jpg,,,Thu Mar 05 20:37:34 +0800 2026,科技博主,11,3,1
