微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
5273176315527780,【科技前沿｜#人形机器人离走进生活还有多远#】#人形机器人是如何团队协作的#在人工智能大模型驱动下，人形机器人应用边界持续拓展。中国人形机器人正加速走向一线，落地于工业生产、教育、服务等真实场景。支撑规模化应用的关键突破是什么？中国机器人产业属于自己的“ChatGPT时刻”，是否正在到来？ ...全文,,无,"https://f.video.weibocdn.com/o0/0OHCtE1vlx08vPwKpvOg01041202aDxm0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728238&ssig=XlGqZBmRRy&KID=unistore,video",,Thu Mar 05 18:31:07 +0800 2026,《人民日报》法人微博,413,77,305
5273073490335379,【工信部部长李乐成：#中国AI大模型走向世界#】#中国企业开源大模型下载量全球第一#，大幅度降低了人工智能的使用门槛，降低了使用成本，增强了人工智能的普惠性。#2026两会首场部长通道# 人民日报的微博视频 ,,无,"https://f.video.weibocdn.com/o0/jQeeghRclx08vP4DM7qw010412001SMR0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728213&ssig=mSu%2FPJwmsf&KID=unistore,video",,Thu Mar 05 11:42:32 +0800 2026,《人民日报》法人微博,667,90,113
5273201199285017,瑞银证券董事长胡知鸷：中国资产正从配置选项逐步成为战略必选瑞银集团中国区总裁、瑞银证券董事长胡知鸷表示，当前，中国企业在人工智能、高端制造、半导体、新能源等领域展现出的创新活力，正在重塑全球投资者对中国资产的认知。中国资产正从配置选项逐步成为战略必选。这为具备全球资源配置能力的 ...全文,,无,,,Thu Mar 05 20:10:00 +0800 2026,财经博主,332,4,23
5272759934386242,这几天在北京参加2026年全国两会，跟大家分享一下我带来的四个建议，涉及新型工业化、人工智能、人口老龄化、科普教育。第一个是：关于加快发展具身智能，赋能工业智能化的建议；第二个是：关于应对人工智能应用的安全、隐私和伦理等挑战的建议；第三个是：关于构建阿尔茨海默病专业化服务生态体 ...全文,,"https://wx1.sinaimg.cn/orj360/006HNGifly1iaux81wzjhj30u04z61kx.jpg,https://wx3.sinaimg.cn/orj360/006HNGifly1iaux82xo92j30u02zznmn.jpg,https://wx3.sinaimg.cn/orj360/006HNGifly1iaux840v4dj30u03ht4qp.jpg,https://wx1.sinaimg.cn/orj360/006HNGifly1iaux856kxfj30u03dj4qp.jpg",,,Wed Mar 04 14:56:33 +0800 2026,海尔集团董事局主席、首席执行官,1579,245,282
5272692630751588,转载：李飞飞最新演讲揭秘AI下一场“寒武纪”爆发：这是一个从“虚拟”到“实体”的伟大迁徙#李飞飞#人工智能#ChatGPT#空间智能#AI未来（来源：视频号“牛油果Tech”，视频版权归原作者所有，如有侵权，请联系删除） 但斌的微博视频 ,,无,"https://f.video.weibocdn.com/u0/MhWUSN3xgx08vNoJE2yA01041200BXyW0E010.mp4?label=mp4_hd&template=540x720.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728238&ssig=zwODV7Zjn0&KID=unistore,video",,Wed Mar 04 10:29:08 +0800 2026,深圳东方港湾投资管理股份有限公司董事长,254,242,16
5272455201689368,#同心会客厅#【中国工程院院士王坚谈AI：中国与美国的竞争，事实上是基础模型的竞争】全国政协委员、中国工程院院士王坚2日接受中国新闻网“同心会客厅”采访时表示，基础模型是人工智能的皇冠，今天中国跟美国在人工智能领域的竞争，事实上是基础模型的竞争。（记者：赵晔娇 剪辑：姚祺）  ...全文,,无,"https://f.video.weibocdn.com/o0/MYbQ2ufKlx08vMlZSlEs01041200tuHP0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728238&ssig=Zzyqz7dqJu&KID=unistore,video",,Tue Mar 03 18:45:40 +0800 2026,中国新闻网法人微博,385,60,17
5272895798382987,所有的资讯APP在这个时代都落伍了，没有人工智能，和高质量的社交解读，光是一个APP里往外蹦资讯，有什么意义呢？最高质量把资讯转化为交易驱动的，都是一些行业群，总是比市场快两三拍。 ,,无,,,Wed Mar 04 23:56:27 +0800 2026,投资内容创作者,275,21,18
5272845607243002,【齐向东称#不拥抱AI的人会被社会淘汰#】全国政协委员、全国工商联副主席、奇安信集团董事长齐向东4日下午接受采访时表示，人工智能（AI）可以帮助人类提高效率，创造更美好的生活，“所以要全面拥抱AI，未来，不能拥抱AI的人就会被社会淘汰。”谈及中国AI的发展，他称，“中国正在全面推动科技创新与 ...全文,,https://wx4.sinaimg.cn/orj360/001WLsZ7ly1iav721damxj615o15ob2b02.jpg,,,Wed Mar 04 20:37:00 +0800 2026,中国新闻网法人微博,397,78,60
5272768628917276,#和阿妥发现生活之光#全民终身学习，数字赋能成长。最近有不少小伙伴向阿妥咨询，希望学习人工智能知识，却苦于没有专业、便捷、免费的学习渠道。作为一名持续关注AI领域的创作者，阿妥非常乐意将#广东全民终身学习平台# 推荐给每一位想要提升自我的朋友。#阿妥的AI观察# 在使用平台前，阿妥也曾在各 ...全文,,"https://wx4.sinaimg.cn/orj360/006F2Dczgy1iatg3xi6kbj30zu22n4di.jpg,https://wx3.sinaimg.cn/orj360/006F2Dczgy1iatg4l2exvj30zu16xdky.jpg,https://wx1.sinaimg.cn/orj360/006F2Dczgy1iatg54e8b9j30zu14cn4j.jpg,https://wx2.sinaimg.cn/orj360/006F2Dczgy1iatgosxac1j30zu13in1r.jpg",,,Wed Mar 04 15:31:07 +0800 2026,微博2021十大人气情感大V 微博2025年度公益V力量 微博公益合伙人,3202,699,2176
5273042961039475,徐仁国透露，JISOO / 金智秀在拍摄新剧期间不断抱怨 AI：人工智能怎么敢赶上人类？（……）愚蠢的人工智能。💅🏻 ,,"https://wx3.sinaimg.cn/orj360/624027f5ly1iavtq7ezh6j20xi17d7bt.jpg,https://wx1.sinaimg.cn/orj360/624027f5ly1iavtq7pq96j20r20r2gnv.jpg,https://wx1.sinaimg.cn/orj360/624027f5ly1iavtq7zdnej20p50p5jub.jpg",,,Thu Mar 05 09:41:12 +0800 2026,音乐博主,1089,44,43
