微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
5273194781218191,据央视财经，当地时间4日，微软、谷歌、OpenAI、亚马逊、Meta、xAI和甲骨文这七家公司代表在美国白宫签署相关文件，美国总统特朗普表示，不少美国民众担忧数据中心会推高电力需求，可能导致电费上涨，有了这份文件，问题将得到解决。根据国际能源署此前的预测，到2030年，全球数据中心的电力需求将增长 ...全文,,无,,,Thu Mar 05 19:44:30 +0800 2026,微博网页版,0,0,0
5273193649803597,【#AI行业招聘供需两头旺#】#AI行业招聘平均月薪破万# 据央视新闻，人工智能等行业人才供需两旺。在线招聘平台数据显示，初八复工以来，平台上职位数迅速跃升，活跃求职者数量迅速增加。从招聘趋势看，新质生产力相关产业已成为今年春招市场驱动人才需求增长的主力，其中机器人、新材料、光电子领跑前 ...全文,,无,"https://f.video.weibocdn.com/o0/N8dO8nqPlx08vPvPQcSs010412003EoW0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728289&ssig=JonJsLeVGA&KID=unistore,video",,Thu Mar 05 19:40:00 +0800 2026,深圳特区报官方微博,0,0,0
5273193422263161,#关注2026两会#【“投身祖国发展，就是拥抱未来”】“籍贯义乌、成长海外、扎根大湾区、深耕浙江——这四个坐标让我坚定选择在杭州开启人工智能领域的‘二次创业’。”作为共青团和青联界的全国政协委员，贺凯琪结合自身实践，寄语广大港澳青年：拥抱人工智能就是拥抱时代，投身祖国发展就是拥抱未来。 ...全文,,无,,,Thu Mar 05 19:39:06 +0800 2026,人民政协报官方微博,0,0,0
5273193402342883,和朋友在讨论具身智能火的原因。借这个机会也梳理了一下自己的一些碎片的认知。在这里mark一下。大语言模型本质上是概率生成，逻辑是预测下一个词，没有身体的话无法真正理解三维世界的规律，像重力、摩擦力；具身智能就是希望能够通过物理交互让智能体真正理解世界。对行业而言，具身智能有很大的商 ...全文,,无,,,Thu Mar 05 19:39:01 +0800 2026,Xiaomi 14,0,0,0
5273193352791864,5.3秒时速800码，超车马斯克还是得看换道，青藏高原战略地位再上升网页链接#建议短视频凌晨1点至5点深夜静默# 新思财经人民金融#牢a##微博兴趣创作计划# #新思头条#  #新思财经#  #人民金融# #新思法律# #新思微评# #新思军事# #新思教育#  #新思哲学# #新思微评#   ...全文,,无,,,Thu Mar 05 19:38:49 +0800 2026,财经博主,0,0,0
5273121787482470,腾讯股价去年涨到600多的时候，谁能想到腾讯股价还会跌到500呢。 只要有耐心，就能等到好公司的低价格。我在港股互联网上犯错误了。在阿里巴巴180或者170时，应该赚钱跑了。当时阿里巴巴大涨，美团微亏。如果卖了，两者相抵，还是赚了很多钱。当时阿里巴巴因为人工智能大涨，公司同时还在搞外 ...全文,,无,,,Thu Mar 05 14:54:27 +0800 2026,财经博主 头条文章作者,149,5,41
5273191447794878,#真财实料#【德勤中国主席：中国过去是世界工厂，现在是消费市场+研发中心】政府工作报告指出，中国在人工智能、生物医药、机器人、量子科技等前沿领域的研发应用已走在世界前列。德勤中国主席蒋颖在接受CGTN采访时表示，中国的角色已从过去的“世界工厂”，逐步演变为重要的消费市场与全球前沿研发中 ...全文,,无,"https://f.video.weibocdn.com/o0/4rhNmp3Xlx08vPAQGNte010412007gc20E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728289&ssig=sT0yuXyShN&KID=unistore,video",,Thu Mar 05 19:31:15 +0800 2026,中央广播电视总台CGTN《全球财经》栏目官方微博,2,0,0
5273190579307083,#2026春暖花开生机无限# 【寇纲委员：技术创新像珍珠，制度创新是丝线】今年两会，全国政协委员寇纲将聚焦人工智能和大数据领域。寇纲认为，技术创新像珍珠，而制度创新是丝线，他的专业能力让他能识别出哪些是好“珍珠”，而政协委员的职责就是找到那根“丝线”，把珍珠串成项链，真正产生价值。 ...全文,,无,"https://f.video.weibocdn.com/o0/xiuX9ZyElx08vPADtjWw01041200zA9Y0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728289&ssig=X2zaOqF0kG&KID=unistore,video",,Thu Mar 05 19:27:48 +0800 2026,光明网的微博,0,0,0
5273125174119371,昨晚在巴塞罗那跟国内记者朋友讨论人工智能的意志。有朋友说人工智能已经发展到极高地步，甚至会雇佣真人为它打工，包括搞真人识别。虽然我没有见识到，但不排除这种可能，AI完全可以有极高的智能、意识，但我觉得没有意志。意志，英文是will，是一种内驱原动力。人类意志的根源在于“生存和繁 ...全文,,无,,,Thu Mar 05 15:07:54 +0800 2026,中国科普作家协会会员 2025微博年度新知博主,84,26,47
5273189699556556,#建议适时推动智能驾驶立法#【全国政协委员谢文敏：#建议确立智能驾驶伦理规则#】随着人工智能技术的快速发展，智能驾驶汽车正逐步由实验室阶段迈向市场化应用，从小规模试点向规模化商用推进，但进步也伴随着挑战。@九派新闻 记者获悉，2026全国两会期间，全国政协委员、湖北首义律师事务所主任谢文敏 ...全文,,无,"https://f.video.weibocdn.com/o0/1Xw4N1LVlx08vPAme89i010412002JM20E010.mp4?label=mp4_hd&template=540x988.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728277&ssig=T7ios%2BPzXp&KID=unistore,video",,Thu Mar 05 19:24:18 +0800 2026,九派新闻官方微博,6,3,2
